tiempo,referencia,hc,f_pid,hc_prev,hc_prev_prev,hc_prev_3,hc_prev_4,freq_prev,freq_prev_prev,freq_prev_3,freq_prev_4,y_hat_1
28970,43,41.9130751219136,92.2523536577443,40.023418345372,37.9008203618403,38.764872543787,39.5727375595306,92.2523536577443,15.4952926845114,15.4952926845114,15.4952926845114,42.022369384765625
28980,43,43.7074697058169,92.2523536577443,41.9130751219136,40.023418345372,37.9008203618403,38.764872543787,92.2523536577443,92.2523536577443,15.4952926845114,15.4952926845114,43.86100769042969
28990,43,42.9797547870187,0.01,43.7074697058169,41.9130751219136,40.023418345372,37.9008203618403,92.2523536577443,92.2523536577443,92.2523536577443,15.4952926845114,42.823062896728516
29000,43,42.1768072270362,0.01,42.9797547870187,43.7074697058169,41.9130751219136,40.023418345372,0.01,92.2523536577443,92.2523536577443,92.2523536577443,42.152381896972656
29010,43,41.2040280367032,0.01,42.1768072270362,42.9797547870187,43.7074697058169,41.9130751219136,0.01,0.01,92.2523536577443,92.2523536577443,41.31745147705078
29020,43,41.8910360987226,54.2520625007462,41.2040280367032,42.1768072270362,42.9797547870187,43.7074697058169,0.01,0.01,0.01,92.2523536577443,41.67019271850586
29030,43,42.2387463950078,54.2520625007462,41.8910360987226,41.2040280367032,42.1768072270362,42.9797547870187,54.2520625007462,0.01,0.01,0.01,42.37995529174805
29040,43,42.744697927994,54.2520625007462,42.2387463950078,41.8910360987226,41.2040280367032,42.1768072270362,54.2520625007462,54.2520625007462,0.01,0.01,42.70333480834961
29050,43,42.041332086963,0.01,42.744697927994,42.2387463950078,41.8910360987226,41.2040280367032,54.2520625007462,54.2520625007462,54.2520625007462,0.01,41.93669891357422
29060,43,41.1396048424908,0.01,42.041332086963,42.744697927994,42.2387463950078,41.8910360987226,0.01,54.2520625007462,54.2520625007462,54.2520625007462,41.20703887939453
29070,43,40.3304364126586,0.01,41.1396048424908,42.041332086963,42.744697927994,42.2387463950078,0.01,0.01,54.2520625007462,54.2520625007462,40.23851776123047
29080,43,41.2709302201681,63.4963207938562,40.3304364126586,41.1396048424908,42.041332086963,42.744697927994,0.01,0.01,0.01,54.2520625007462,41.15416717529297
29090,43,42.0420375054036,63.4963207938562,41.2709302201681,40.3304364126586,41.1396048424908,42.041332086963,63.4963207938562,0.01,0.01,0.01,42.06949234008789
29100,43,42.9357570019687,63.4963207938562,42.0420375054036,41.2709302201681,40.3304364126586,41.1396048424908,63.4963207938562,63.4963207938562,0.01,0.01,42.82675552368164
29110,43,42.1352192769769,0.01,42.9357570019687,42.0420375054036,41.2709302201681,40.3304364126586,63.4963207938562,63.4963207938562,63.4963207938562,0.01,42.1327018737793
29120,43,41.3389461662042,0.01,42.1352192769769,42.9357570019687,42.0420375054036,41.2709302201681,0.01,63.4963207938562,63.4963207938562,63.4963207938562,41.27592468261719
29130,43,40.4234867922098,0.01,41.3389461662042,42.1352192769769,42.9357570019687,42.0420375054036,0.01,0.01,63.4963207938562,63.4963207938562,40.469337463378906
29140,43,41.3660329738771,63.8191722617503,40.4234867922098,41.3389461662042,42.1352192769769,42.9357570019687,0.01,0.01,0.01,63.4963207938562,41.282413482666016
29150,43,42.1763250530193,63.8191722617503,41.3660329738771,40.4234867922098,41.3389461662042,42.1352192769769,63.8191722617503,0.01,0.01,0.01,42.17314147949219
29160,43,43.1282548352471,63.8191722617503,42.1763250530193,41.3660329738771,40.4234867922098,41.3389461662042,63.8191722617503,63.8191722617503,0.01,0.01,42.96422576904297
29170,43,42.2347974331703,0.01,43.1282548352471,42.1763250530193,41.3660329738771,40.4234867922098,63.8191722617503,63.8191722617503,63.8191722617503,0.01,42.33014678955078
29180,43,41.4136948401469,0.01,42.2347974331703,43.1282548352471,42.1763250530193,41.3660329738771,0.01,63.8191722617503,63.8191722617503,63.8191722617503,41.35173034667969
29190,43,40.5114415030799,0.01,41.4136948401469,42.2347974331703,43.1282548352471,42.1763250530193,0.01,0.01,63.8191722617503,63.8191722617503,40.53842544555664
29200,49,41.4074771108416,62.0201680139455,40.5114415030799,41.4136948401469,42.2347974331703,43.1282548352471,0.01,0.01,0.01,63.8191722617503,41.30148696899414
29210,49,42.1547698749055,62.0201680139455,41.4074771108416,40.5114415030799,41.4136948401469,42.2347974331703,62.0201680139455,0.01,0.01,0.01,42.14134979248047
29220,49,42.9585375595937,62.0201680139455,42.1547698749055,41.4074771108416,40.5114415030799,41.4136948401469,62.0201680139455,62.0201680139455,0.01,0.01,42.87286376953125
29230,49,43.9650974045179,68.9899159930273,42.9585375595937,42.1547698749055,41.4074771108416,40.5114415030799,62.0201680139455,62.0201680139455,62.0201680139455,0.01,43.898895263671875
29240,49,44.8829923417718,68.9899159930273,43.9650974045179,42.9585375595937,42.1547698749055,41.4074771108416,68.9899159930273,62.0201680139455,62.0201680139455,62.0201680139455,44.864768981933594
29250,49,45.8028812726754,68.9899159930273,44.8829923417718,43.9650974045179,42.9585375595937,42.1547698749055,68.9899159930273,68.9899159930273,62.0201680139455,62.0201680139455,45.760135650634766
29260,49,45.4722902562091,26.7931141432776,45.8028812726754,44.8829923417718,43.9650974045179,42.9585375595937,68.9899159930273,68.9899159930273,68.9899159930273,62.0201680139455,45.042476654052734
29270,49,45.003118349046,26.7931141432776,45.4722902562091,45.8028812726754,44.8829923417718,43.9650974045179,26.7931141432776,68.9899159930273,68.9899159930273,68.9899159930273,44.94173049926758
29280,49,44.5863786497988,26.7931141432776,45.003118349046,45.4722902562091,45.8028812726754,44.8829923417718,26.7931141432776,26.7931141432776,68.9899159930273,68.9899159930273,44.4428825378418
29290,49,45.707856327051,73.9945217950222,44.5863786497988,45.003118349046,45.4722902562091,45.8028812726754,26.7931141432776,26.7931141432776,26.7931141432776,68.9899159930273,45.631813049316406
29300,49,46.6735396914414,73.9945217950222,45.707856327051,44.5863786497988,45.003118349046,45.4722902562091,73.9945217950222,26.7931141432776,26.7931141432776,26.7931141432776,46.718955993652344
29310,49,47.5214105293415,73.9945217950222,46.6735396914414,45.707856327051,44.5863786497988,45.003118349046,73.9945217950222,73.9945217950222,26.7931141432776,26.7931141432776,47.66922378540039
29320,49,46.8862368987461,0.01,47.5214105293415,46.6735396914414,45.707856327051,44.5863786497988,73.9945217950222,73.9945217950222,73.9945217950222,26.7931141432776,46.75429916381836
29330,49,46.0822075522882,0.01,46.8862368987461,47.5214105293415,46.6735396914414,45.707856327051,0.01,73.9945217950222,73.9945217950222,73.9945217950222,46.121028900146484
29340,49,45.4738985223413,0.01,46.0822075522882,46.8862368987461,47.5214105293415,46.6735396914414,0.01,0.01,73.9945217950222,73.9945217950222,45.27497482299805
29350,49,46.5319925975888,74.6454894087577,45.4738985223413,46.0822075522882,46.8862368987461,47.5214105293415,0.01,0.01,0.01,73.9945217950222,46.43400192260742
29360,49,47.5664092073262,74.6454894087577,46.5319925975888,45.4738985223413,46.0822075522882,46.8862368987461,74.6454894087577,0.01,0.01,0.01,47.54566192626953
